,hot_line,ram,screen_size,cpu_speed,hard_disk,cd_rom,cache,color_of_unit,availability,warranty,software,guarantee,price,task
0,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,0
1,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,0
2,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,0
3,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,0
4,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,0
5,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,0
6,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,0
7,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,0
8,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,0
9,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,0
10,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,0
11,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
12,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,0
13,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,0
14,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,0
15,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,0
16,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,0
17,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,0
18,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,0
19,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,0
20,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,1
21,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1
22,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,1
23,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,1
24,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,1
25,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,1
26,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,1
27,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1
28,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,1
29,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,1
30,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,1
31,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
32,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,1
33,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,1
34,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,1
35,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,1
36,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,1
37,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,1
38,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1
39,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1
40,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,2
41,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,2
42,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,2
43,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,2
44,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,2
45,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,2
46,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,2
47,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,2
48,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,2
49,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,2
