,0
0,6
1,3
2,5
3,7
4,5
5,6
6,7
7,7
8,8
9,8
10,5
11,4
12,8
13,8
14,5
15,4
16,3
17,6
18,7
19,5
20,5
21,3
22,3
23,7
24,3
25,6
26,3
27,7
28,7
29,3
30,3
31,4
32,6
33,4
34,3
35,3
36,3
37,3
38,7
39,5
40,10
41,7
42,2
43,10
44,3
45,2
46,4
47,10
48,6
49,5
50,4
51,3
52,8
53,7
54,3
55,4
56,5
57,2
58,9
59,7
60,10
61,7
62,7
63,9
64,8
65,5
66,8
67,9
68,9
69,10
70,10
71,7
72,10
73,10
74,8
75,8
76,10
77,9
78,9
79,10
80,8
81,4
82,3
83,10
84,3
85,3
86,6
87,10
88,9
89,6
90,4
91,3
92,7
93,7
94,3
95,3
96,4
97,3
98,8
99,9
100,3
101,7
102,4
103,9
104,3
105,6
106,4
107,7
108,3
109,6
110,4
111,4
112,9
113,7
114,4
115,6
116,4
117,4
118,2
119,4
120,8
121,5
122,3
123,3
124,7
125,3
126,6
127,9
128,8
129,3
130,3
131,6
132,7
133,8
134,5
135,4
136,5
137,5
138,8
139,7
140,9
141,2
142,2
143,8
144,5
145,7
146,3
147,4
148,8
149,3
150,8
151,4
152,7
153,10
154,2
155,4
156,2
157,4
158,7
159,10
160,9
161,1
162,1
163,8
164,0
165,6
166,0
167,1
168,1
169,1
170,1
171,1
172,1
173,8
174,0
175,0
176,0
177,0
178,7
179,9
180,5
181,5
182,6
183,7
184,6
185,5
186,8
187,8
188,7
189,7
190,8
191,3
192,6
193,5
194,6
195,2
196,2
197,6
198,6
199,9
200,8
201,2
202,6
203,10
204,7
205,5
206,7
207,9
208,7
209,8
210,7
211,1
212,6
213,7
214,2
215,3
216,3
217,3
218,7
219,9
220,6
221,3
222,3
223,8
224,6
225,2
226,2
227,9
228,4
229,3
230,6
231,2
232,7
233,8
234,6
235,5
236,6
237,5
238,7
239,6
240,9
241,5
242,7
243,6
244,2
245,8
246,2
247,1
248,2
249,6
250,3
251,7
252,3
253,4
254,6
255,5
256,6
