,0
0,17
1,5
2,16
3,12
4,7
5,20
6,15
7,16
8,26
9,5
10,18
11,24
12,9
13,15
14,31
15,7
16,11
17,29
18,22
19,28
20,27
21,5
22,17
23,15
24,5
25,18
26,21
27,22
28,6
29,8
30,9
31,22
32,10
33,17
34,19
35,30
36,27
37,2
38,2
39,26
40,22
41,4
42,11
43,5
44,14
45,8
46,30
47,18
48,7
49,10
50,12
51,16
52,17
53,17
54,24
55,39
56,22
57,3
58,16
59,19
60,16
61,5
62,16
63,18
64,31
65,23
66,18
67,30
68,50
69,4
70,25
71,13
72,32
73,26
74,8
75,18
76,23
77,22
78,12
79,3
80,1
81,27
82,19
83,24
84,14
85,5
86,5
87,7
88,23
89,26
90,2
91,17
92,35
93,1
94,51
95,11
96,14
97,28
98,1
99,19
100,22
101,2
102,32
103,9
104,10
105,14
106,18
107,4
108,17
109,22
110,2
111,31
112,9
113,14
114,5
115,17
116,46
117,17
118,9
119,17
120,5
121,25
122,9
123,16
124,27
125,30
126,4
127,35
128,25
129,14
130,13
131,30
132,2
133,26
134,10
135,49
136,4
137,25
138,1
139,16
140,6
141,28
142,9
143,23
144,18
145,5
146,43
147,16
148,17
149,10
150,5
151,28
152,19
153,22
154,2
155,11
156,33
157,9
158,7
159,11
160,36
161,10
162,22
163,30
164,9
165,11
166,23
167,7
168,15
169,8
170,3
171,14
172,41
173,10
174,17
175,30
176,32
177,12
178,2
179,5
180,6
181,15
182,19
183,35
184,10
185,15
186,4
187,16
188,5
189,7
190,14
191,23
192,43
193,14
194,3
195,24
196,12
197,7
198,49
199,24
200,30
201,60
202,48
203,25
204,15
205,30
206,32
207,32
208,1
209,3
210,13
211,17
212,20
213,40
214,45
215,5
216,45
217,2
218,1
219,21
220,29
221,10
222,10
223,30
224,32
225,14
226,38
227,12
228,32
229,39
230,18
231,3
232,11
233,20
234,25
235,13
236,26
237,18
238,35
239,1
240,9
241,46
242,12
243,39
244,14
245,50
246,1
247,41
248,4
249,70
250,56
251,48
252,40
253,28
254,70
255,19
256,1
257,12
258,9
259,47
260,30
261,17
262,11
263,24
264,5
265,46
266,40
267,44
268,22
269,36
270,14
271,4
272,8
273,5
274,38
275,30
276,45
277,8
278,38
279,48
280,41
281,54
282,31
283,39
284,5
285,28
286,2
287,47
288,6
289,49
290,20
291,20
292,12
293,16
294,10
295,9
296,19
297,19
298,18
299,10
300,22
301,52
302,1
303,9
304,1
305,13
306,9
307,12
308,24
309,25
310,6
311,23
312,9
313,4
314,32
315,27
316,12
317,31
318,3
319,15
320,28
321,18
322,20
323,6
324,11
325,39
326,10
327,22
328,8
329,32
330,20
331,21
332,18
333,23
334,13
335,4
336,25
337,17
338,11
339,4
340,29
341,30
342,8
343,30
344,3
345,34
346,23
347,17
348,26
349,29
350,13
351,8
352,26
353,43
354,7
355,22
356,22
357,6
358,32
359,3
360,38
361,15
362,35
363,20
364,20
365,4
366,20
367,5
368,39
369,25
370,3
371,25
372,14
373,13
374,15
375,10
376,10
377,16
378,16
379,12
380,10
381,46
382,30
383,32
384,15
385,25
386,28
387,33
388,20
389,31
390,38
391,41
392,21
393,32
394,27
395,34
396,12
397,2
398,3
399,16
400,14
401,28
402,9
403,2
404,2
405,16
406,18
407,13
408,54
409,16
410,50
411,24
412,14
413,31
414,3
415,33
416,37
417,3
418,17
419,28
420,29
421,11
422,20
